All calculations,Bus 16
"b:tnow in s","m:fehz in Hz"
11.771666,59.434911
11.781666,59.434822
11.791666,59.434732
11.801666,59.434643
11.811666,59.434555
11.821666,59.434466
11.831666,59.434378
11.841666,59.434290
11.851666,59.434203
11.861666,59.434116
11.871666,59.434029
11.881666,59.433942
11.891666,59.433855
11.901666,59.433769
11.911666,59.433682
11.921666,59.433596
11.931666,59.433510
11.941666,59.433424
11.951666,59.433338
11.961666,59.433252
11.971666,59.433166
11.981666,59.433081
11.991666,59.432995
12.001666,59.432909
12.011666,59.432824
12.021666,59.432738
12.031666,59.432652
12.041666,59.432566
12.051666,59.432480
12.061666,59.432395
12.071666,59.432308
12.081666,59.432222
12.091666,59.432136
12.101666,59.432050
12.111666,59.431963
12.121666,59.431877
12.131666,59.431790
12.141666,59.431703
12.151666,59.431616
12.161666,59.431529
12.171666,59.431442
12.181666,59.431354
12.191666,59.431266
12.201666,59.431179
12.211666,59.431090
12.221666,59.431002
12.231666,59.430914
12.241666,59.430825
12.251666,59.430736
12.261666,59.430647
12.271666,59.430558
12.281666,59.430469
12.291666,59.430379
12.301666,59.430289
12.311666,59.430199
12.321666,59.430109
12.331666,59.430019
12.341666,59.429928
12.351666,59.429837
12.361666,59.429747
12.371666,59.429656
12.381666,59.429564
12.391666,59.429473
12.401666,59.429382
12.411666,59.429290
12.421666,59.429198
12.431666,59.429107
12.441666,59.429015
12.451666,59.428923
12.461666,59.428831
12.471666,59.428739
12.481666,59.428647
12.491666,59.428554
12.501666,59.428462
12.511666,59.428370
12.521666,59.428278
12.531666,59.428186
12.541666,59.428094
12.551666,59.428001
12.561666,59.427909
12.571666,59.427818
12.581666,59.427726
12.591666,59.427634
12.601666,59.427542
12.611666,59.427451
12.621666,59.427360
12.631666,59.427268
12.641666,59.427178
12.651666,59.427087
12.661666,59.426996
12.671666,59.426906
12.681666,59.426816
12.691666,59.426726
12.701666,59.426637
12.711666,59.426548
12.721666,59.426459
12.731666,59.426370
12.741666,59.426282
12.751666,59.426194
12.761666,59.426107
12.771666,59.426020
12.781666,59.425933
12.791666,59.425847
12.801666,59.425761
12.811666,59.425675
12.821666,59.425591
12.831666,59.425506
12.841666,59.425422
12.851666,59.425338
12.861666,59.425255
12.871666,59.425173
12.881666,59.425091
12.891666,59.425009
12.901666,59.424928
12.911666,59.424848
12.921666,59.424768
12.931666,59.424689
12.941666,59.424610
12.951666,59.424532
12.961666,59.424454
12.971666,59.424377
12.981666,59.424300
12.991666,59.424224
13.001666,59.424149
13.011666,59.424074
13.021666,59.424000
13.031666,59.423926
13.041666,59.423853
13.051666,59.423780
13.061666,59.423708
13.071666,59.423637
13.081666,59.423566
13.091666,59.423496
13.101666,59.423426
13.111666,59.423357
13.121666,59.423288
13.131666,59.423220
13.141666,59.423153
13.151666,59.423086
13.161666,59.423020
13.171666,59.422954
13.181666,59.422888
13.191666,59.422823
13.201666,59.422759
13.211666,59.422695
13.221666,59.422632
13.231666,59.422569
13.241666,59.422507
